Column1,Column2,Category,Value,Month,Date,Name,Surname,Orientation
27,111,C,299,Sep,2022-08-01 04:47:44.172301,David,Jones,Bisexual
14,165,B,155,Aug,2022-09-05 04:47:44.172301,Eva,Rodriguez,Lesbian
53,168,B,317,Oct,2019-09-17 04:47:44.172301,David,Smith,Bisexual
1,167,A,147,Dec,2020-09-17 04:47:44.172301,Alice,Rodriguez,Bisexual
53,123,B,350,Dec,2022-03-10 04:47:44.172301,Ivy,Martinez,Gay
3,115,C,243,Jun,2023-11-14 04:47:44.172301,Jack,Martinez,Bisexual
14,146,A,122,Jun,2023-02-21 04:47:44.172301,Ivy,Rodriguez,Bisexual
78,55,A,214,Jan,2022-04-01 04:47:44.172301,Henry,Brown,Bisexual
21,128,A,170,Jul,2022-06-15 04:47:44.172301,Jack,Rodriguez,Lesbian
56,114,C,103,Jan,2021-09-04 04:47:44.172301,Grace,Williams,Lesbian
44,71,C,434,Sep,2019-05-29 04:47:44.172301,Frank,Rodriguez,Pansexual
64,99,C,456,Jan,2023-01-26 04:47:44.172301,Grace,Miller,Gay
11,112,A,107,Apr,2022-07-29 04:47:44.172301,Jack,Brown,Lesbian
95,133,C,342,Nov,2022-04-15 04:47:44.172301,Ivy,Williams,Bisexual
2,64,B,279,Sep,2022-07-05 04:47:44.172301,Jack,Miller,Bisexual
25,135,A,416,Dec,2021-05-30 04:47:44.172301,Frank,Davis,Bisexual
25,112,C,331,Feb,2022-02-12 04:47:44.172301,Grace,Miller,Pansexual
71,87,A,238,Aug,2022-11-21 04:47:44.172301,Henry,Davis,Straight
53,192,B,113,Jan,2019-05-07 04:47:44.172301,Ivy,Johnson,Bisexual
37,94,A,178,Feb,2020-01-14 04:47:44.172301,Frank,Miller,Gay
53,60,B,122,Nov,2023-03-07 04:47:44.172301,Bob,Brown,Lesbian
54,132,A,341,Nov,2023-08-26 04:47:44.172301,Eva,Jones,Bisexual
72,103,A,111,Sep,2020-01-19 04:47:44.172301,Alice,Miller,Pansexual
46,193,B,296,Jun,2020-06-18 04:47:44.172301,Frank,Johnson,Bisexual
74,90,B,385,Apr,2019-10-22 04:47:44.172301,Bob,Garcia,Pansexual
54,150,C,187,Mar,2023-06-14 04:47:44.172301,Alice,Johnson,Bisexual
40,184,B,138,Nov,2023-09-24 04:47:44.172301,Jack,Jones,Bisexual
80,114,C,412,Feb,2023-09-26 04:47:44.172301,Grace,Brown,Gay
32,92,C,265,Apr,2019-09-18 04:47:44.172301,Ivy,Jones,Bisexual
93,52,B,456,Nov,2020-09-23 04:47:44.172301,Grace,Davis,Bisexual
47,104,C,224,Sep,2021-12-25 04:47:44.172301,Henry,Jones,Gay
77,161,A,277,Aug,2024-01-15 04:47:44.172301,Henry,Rodriguez,Gay
42,113,B,488,Jun,2020-09-26 04:47:44.172301,Bob,Davis,Pansexual
59,89,A,299,Jun,2021-08-15 04:47:44.172301,David,Smith,Bisexual
51,81,C,239,Sep,2021-07-15 04:47:44.172301,Frank,Rodriguez,Gay
41,198,A,490,Mar,2023-11-17 04:47:44.172301,Jack,Rodriguez,Straight
34,126,A,346,Sep,2020-02-10 04:47:44.172301,Ivy,Johnson,Pansexual
63,177,B,294,Dec,2021-08-05 04:47:44.172301,Eva,Martinez,Pansexual
46,156,C,259,Feb,2022-11-20 04:47:44.172301,Bob,Miller,Pansexual
33,183,B,276,Jun,2022-04-09 04:47:44.172301,Grace,Smith,Gay
37,52,B,202,Jul,2023-04-14 04:47:44.172301,Alice,Williams,Bisexual
87,106,B,334,Mar,2022-06-01 04:47:44.172301,Grace,Smith,Pansexual
78,113,C,455,Jun,2020-05-26 04:47:44.172301,Ivy,Brown,Straight
36,89,B,447,May,2019-12-29 04:47:44.172301,Alice,Davis,Lesbian
53,97,B,207,Sep,2021-01-16 04:47:44.172301,Charlie,Miller,Bisexual
13,84,B,123,Aug,2020-01-01 04:47:44.172301,Jack,Rodriguez,Gay
32,94,B,100,May,2022-05-19 04:47:44.172301,David,Davis,Gay
44,72,C,197,Nov,2019-12-31 04:47:44.172301,Grace,Jones,Straight
19,89,C,150,Oct,2022-11-08 04:47:44.172301,Frank,Garcia,Pansexual
91,192,C,158,May,2019-08-28 04:47:44.172301,Henry,Rodriguez,Pansexual
74,155,B,227,Jun,2024-02-27 04:47:44.172301,Henry,Jones,Gay
30,118,B,177,Feb,2022-10-21 04:47:44.172301,Bob,Brown,Pansexual
61,169,C,108,Aug,2021-01-20 04:47:44.172301,Jack,Garcia,Straight
81,111,C,151,Nov,2020-02-04 04:47:44.172301,Bob,Brown,Lesbian
51,153,A,428,Apr,2021-02-27 04:47:44.172301,Alice,Rodriguez,Gay
95,139,C,177,Aug,2019-06-14 04:47:44.172301,Alice,Miller,Straight
35,119,C,388,Dec,2019-12-11 04:47:44.172301,Bob,Davis,Lesbian
17,53,C,340,Jun,2022-09-25 04:47:44.172301,Frank,Martinez,Pansexual
23,71,C,280,Mar,2020-08-24 04:47:44.172301,Charlie,Miller,Straight
30,198,A,177,Jul,2023-01-01 04:47:44.172301,Alice,Rodriguez,Lesbian
31,177,B,418,Sep,2021-12-09 04:47:44.172301,Eva,Rodriguez,Straight
28,113,A,338,Apr,2021-01-25 04:47:44.172301,Eva,Williams,Straight
89,77,B,364,Mar,2023-01-30 04:47:44.172301,Alice,Rodriguez,Straight
68,183,A,184,Mar,2019-07-24 04:47:44.172301,Eva,Brown,Gay
18,138,B,398,Jun,2022-09-23 04:47:44.172301,Eva,Miller,Lesbian
6,126,A,470,Jun,2020-12-16 04:47:44.172301,Grace,Garcia,Gay
42,128,C,451,Apr,2023-12-21 04:47:44.172301,Jack,Davis,Bisexual
41,89,C,435,Jan,2022-02-12 04:47:44.172301,Eva,Johnson,Bisexual
93,189,A,484,Feb,2020-02-03 04:47:44.172301,Alice,Davis,Straight
38,143,C,136,Nov,2023-12-24 04:47:44.172301,Alice,Brown,Bisexual
38,77,A,153,Jun,2022-03-31 04:47:44.172301,Jack,Martinez,Lesbian
61,167,C,274,May,2019-11-26 04:47:44.172301,Frank,Martinez,Lesbian
83,179,B,404,Sep,2023-09-17 04:47:44.172301,Henry,Davis,Gay
53,58,A,144,Jul,2019-04-02 04:47:44.172301,Eva,Williams,Lesbian
11,57,C,261,Oct,2020-04-25 04:47:44.172301,Grace,Williams,Pansexual
62,149,B,299,Oct,2019-09-08 04:47:44.172301,Alice,Miller,Straight
16,139,A,325,Jun,2019-06-15 04:47:44.172301,Frank,Rodriguez,Bisexual
72,55,C,236,Apr,2019-06-06 04:47:44.172301,Grace,Brown,Gay
50,192,A,288,Apr,2020-11-29 04:47:44.172301,Charlie,Johnson,Straight
26,60,B,363,Sep,2020-04-30 04:47:44.172301,Jack,Smith,Gay
4,104,C,370,Jun,2024-03-16 04:47:44.172301,Charlie,Rodriguez,Lesbian
80,118,C,431,Sep,2023-04-24 04:47:44.172301,Charlie,Johnson,Straight
39,91,C,241,Jul,2023-03-09 04:47:44.172301,Henry,Smith,Pansexual
85,77,C,437,Oct,2021-09-03 04:47:44.172301,Ivy,Williams,Gay
62,116,B,146,May,2021-08-03 04:47:44.172301,Charlie,Rodriguez,Bisexual
97,114,C,286,Nov,2023-12-10 04:47:44.172301,Grace,Rodriguez,Gay
21,100,C,300,Sep,2019-09-10 04:47:44.172301,David,Rodriguez,Lesbian
64,86,B,205,Jan,2023-12-29 04:47:44.172301,Ivy,Brown,Straight
26,78,A,154,Dec,2021-05-11 04:47:44.172301,Frank,Brown,Gay
10,66,C,236,Oct,2020-11-02 04:47:44.172301,Bob,Williams,Pansexual
33,172,A,353,Aug,2019-04-28 04:47:44.172301,Eva,Miller,Lesbian
74,100,C,136,Apr,2020-12-29 04:47:44.172301,Charlie,Jones,Lesbian
68,113,C,377,Jan,2022-07-23 04:47:44.172301,Jack,Williams,Gay
79,109,C,485,Aug,2023-05-16 04:47:44.172301,Charlie,Brown,Gay
84,137,B,327,Dec,2021-01-26 04:47:44.172301,Charlie,Rodriguez,Pansexual
76,90,C,300,Nov,2021-06-02 04:47:44.172301,Ivy,Jones,Lesbian
66,169,A,446,Jul,2024-03-11 04:47:44.172301,Frank,Smith,Straight
37,91,A,228,Jul,2021-05-31 04:47:44.172301,Henry,Davis,Gay
67,83,B,248,Dec,2023-12-09 04:47:44.172301,Charlie,Brown,Pansexual
27,55,C,394,Mar,2019-12-24 04:47:44.172301,Jack,Williams,Lesbian
18,197,C,129,Dec,2023-06-08 04:47:44.172301,Ivy,Jones,Lesbian
3,90,C,113,Dec,2023-10-06 04:47:44.172301,Ivy,Smith,Bisexual
37,74,C,115,Dec,2020-01-25 04:47:44.172301,Frank,Johnson,Gay
53,53,C,470,Jan,2023-02-16 04:47:44.172301,Eva,Johnson,Bisexual
28,160,C,473,Jul,2023-08-12 04:47:44.172301,Eva,Williams,Lesbian
33,180,C,123,Jan,2019-11-10 04:47:44.172301,Henry,Miller,Bisexual
54,84,B,132,Nov,2019-03-29 04:47:44.172301,Jack,Brown,Straight
99,114,C,192,Apr,2022-03-23 04:47:44.172301,Bob,Garcia,Pansexual
41,156,A,120,Sep,2022-08-29 04:47:44.172301,Eva,Rodriguez,Bisexual
50,139,C,220,Jun,2022-05-10 04:47:44.172301,Frank,Williams,Straight
24,59,B,208,Nov,2022-04-24 04:47:44.172301,Bob,Johnson,Bisexual
75,107,B,491,Jan,2022-05-27 04:47:44.173297,Alice,Garcia,Straight
