Column1,Column2,Category,Value,Month,Date,Name,Surname,Orientation
14,80,A,306,Apr,2024-02-24 04:47:48.910183,Ivy,Johnson,Gay
68,62,C,195,Aug,2022-10-21 04:47:48.910183,Ivy,Miller,Gay
73,145,A,197,Feb,2023-11-27 04:47:48.910183,Alice,Martinez,Bisexual
14,52,A,310,Jul,2019-12-20 04:47:48.910183,Henry,Jones,Bisexual
63,134,A,209,Oct,2023-06-30 04:47:48.910183,David,Smith,Straight
58,77,A,182,Jun,2023-05-22 04:47:48.910183,Eva,Rodriguez,Straight
98,119,A,163,Nov,2023-11-18 04:47:48.910183,David,Rodriguez,Lesbian
14,140,C,157,Mar,2021-01-08 04:47:48.910183,Eva,Davis,Pansexual
76,184,A,425,May,2019-09-25 04:47:48.910183,Grace,Williams,Gay
73,103,A,273,Oct,2023-03-12 04:47:48.910183,David,Jones,Bisexual
26,111,B,140,Nov,2023-08-08 04:47:48.910183,Bob,Johnson,Bisexual
59,73,C,102,Apr,2021-03-11 04:47:48.910183,Henry,Johnson,Lesbian
57,188,B,184,Mar,2022-08-31 04:47:48.910183,Eva,Smith,Bisexual
79,95,B,401,Oct,2023-05-09 04:47:48.910183,Eva,Smith,Pansexual
37,91,B,266,Dec,2023-07-29 04:47:48.910183,David,Smith,Pansexual
39,67,A,217,Apr,2023-05-20 04:47:48.910183,Bob,Brown,Gay
66,137,B,339,Jan,2019-10-10 04:47:48.910183,Bob,Williams,Bisexual
16,84,C,462,Jan,2020-05-13 04:47:48.910183,Alice,Williams,Lesbian
51,191,A,451,Mar,2020-06-02 04:47:48.910183,Ivy,Johnson,Gay
38,158,A,266,Jul,2021-10-23 04:47:48.910183,Charlie,Brown,Pansexual
54,129,C,126,Jun,2020-08-14 04:47:48.910183,Eva,Williams,Gay
73,154,B,298,Apr,2021-04-29 04:47:48.910183,Alice,Garcia,Gay
31,62,B,271,Sep,2019-04-23 04:47:48.910183,Grace,Brown,Lesbian
7,107,B,158,Jan,2020-03-04 04:47:48.910183,Ivy,Brown,Straight
13,111,B,105,Jan,2023-04-12 04:47:48.910183,Jack,Martinez,Lesbian
83,74,A,464,Oct,2022-08-27 04:47:48.910183,Frank,Smith,Pansexual
28,164,A,213,Dec,2023-12-23 04:47:48.910183,David,Rodriguez,Gay
9,116,B,255,Oct,2022-01-21 04:47:48.910183,Alice,Smith,Pansexual
85,143,C,236,Feb,2023-09-20 04:47:48.910183,Alice,Rodriguez,Pansexual
85,161,C,367,May,2021-01-27 04:47:48.910183,Charlie,Williams,Gay
21,74,A,487,Aug,2021-01-17 04:47:48.910183,Frank,Williams,Straight
19,101,A,117,Nov,2019-06-15 04:47:48.910183,Jack,Johnson,Lesbian
62,173,B,235,Aug,2023-01-12 04:47:48.910183,Bob,Rodriguez,Straight
46,101,C,141,Jun,2020-12-10 04:47:48.910183,Ivy,Smith,Pansexual
65,107,C,184,Feb,2022-02-01 04:47:48.910183,Eva,Garcia,Lesbian
49,142,C,404,Dec,2023-02-28 04:47:48.910183,Henry,Martinez,Lesbian
80,54,C,137,Oct,2020-10-21 04:47:48.910183,Grace,Williams,Gay
50,109,B,476,Aug,2023-12-24 04:47:48.910183,Bob,Johnson,Gay
1,184,C,238,Apr,2022-12-20 04:47:48.910183,Jack,Jones,Bisexual
15,182,C,111,Jul,2023-10-12 04:47:48.910183,Alice,Johnson,Straight
95,151,A,273,Jun,2023-10-24 04:47:48.910183,Ivy,Davis,Bisexual
36,99,B,475,Jun,2019-04-12 04:47:48.910183,Alice,Smith,Gay
17,172,C,174,Dec,2021-07-27 04:47:48.910183,Grace,Miller,Gay
77,131,C,365,Apr,2024-02-19 04:47:48.910183,Alice,Brown,Gay
14,172,C,470,Oct,2020-03-23 04:47:48.910183,Jack,Johnson,Pansexual
